job,marital,education,housing,loan,month,day_of_week,campaign,previous,cons.price.idx,cons.conf.idx,y,was_contacted_before,economic_index,is_risk,poutcome_success,is_cellular,age_group
blue-collar,married,basic.6y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,single,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
unemployed,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
retired,single,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,single,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,university.degree,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,professional.course,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
self-employed,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,single,university.degree,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,professional.course,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,divorced,basic.4y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
entrepreneur,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,single,professional.course,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,single,professional.course,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,university.degree,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
housemaid,married,basic.4y,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,single,professional.course,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.4y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,married,professional.course,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
management,married,university.degree,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
unemployed,married,professional.course,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,single,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,Students/early career
entrepreneur,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.6y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.6y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,single,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,basic.9y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,single,basic.4y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
management,married,basic.6y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,divorced,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,divorced,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,yes,0,0.9794346312378054,1,0,0,working_age
technician,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
management,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,high.school,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
entrepreneur,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,yes,0,0.9794346312378054,1,0,0,working_age
technician,single,university.degree,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,divorced,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,married,basic.6y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,yes,0,0.9794346312378054,0,0,0,working_age
admin.,married,high.school,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,university.degree,no,yes,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
unemployed,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.6y,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,professional.course,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,divorced,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,single,professional.course,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.6y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.4y,no,no,may,mon,3,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,divorced,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,divorced,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,single,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
housemaid,married,basic.6y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,high.school,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
entrepreneur,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,married,professional.course,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
retired,divorced,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
unemployed,married,basic.4y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,divorced,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
management,married,university.degree,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,divorced,university.degree,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,divorced,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,divorced,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,divorced,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,no,yes,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,basic.6y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,divorced,professional.course,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
retired,married,basic.4y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,professional.course,yes,no,may,mon,1,0,93.994,-36.4,yes,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.6y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,professional.course,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.6y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,divorced,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
housemaid,married,basic.4y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,married,high.school,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,yes,0,0.9794346312378054,1,0,0,working_age
unemployed,single,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,divorced,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,single,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
entrepreneur,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,divorced,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
entrepreneur,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,single,professional.course,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,single,university.degree,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,Students/early career
blue-collar,single,basic.9y,yes,yes,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,3,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,divorced,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
entrepreneur,married,basic.6y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,divorced,university.degree,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,divorced,university.degree,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,high.school,no,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,married,university.degree,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,single,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,married,high.school,no,no,may,mon,3,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,married,basic.9y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,single,basic.6y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.6y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.9y,yes,yes,may,mon,2,0,93.994,-36.4,yes,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,3,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.4y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
management,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,basic.6y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
retired,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,professional.course,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,single,basic.9y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,divorced,university.degree,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,university.degree,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,single,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,high.school,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,single,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,basic.9y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.6y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,single,basic.6y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,high.school,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
student,single,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
student,single,university.degree,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
unemployed,married,professional.course,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,single,basic.4y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
student,single,university.degree,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
student,single,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
housemaid,divorced,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
retired,married,basic.4y,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,professional.course,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
housemaid,married,basic.4y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,single,basic.9y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,single,basic.9y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
housemaid,married,basic.4y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,married,high.school,no,no,may,mon,3,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,high.school,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,professional.course,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
services,single,basic.6y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,married,basic.4y,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
technician,married,basic.9y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
retired,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
technician,married,university.degree,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,single,university.degree,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
retired,married,basic.4y,no,no,may,mon,3,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
blue-collar,married,basic.4y,yes,yes,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,professional.course,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,divorced,professional.course,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
management,divorced,basic.4y,yes,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,high.school,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
self-employed,married,university.degree,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
admin.,married,professional.course,yes,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
blue-collar,married,basic.4y,no,no,may,mon,1,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
admin.,married,high.school,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
services,married,high.school,no,yes,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
management,married,university.degree,no,yes,may,mon,3,0,93.994,-36.4,no,0,0.9794346312378054,1,0,0,working_age
retired,married,high.school,no,no,may,mon,2,0,93.994,-36.4,no,0,0.9794346312378054,0,0,0,working_age
